employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-58537831,Joseph,Clark,Female,North Carolina,Greensboro,2020-12-10,Sales,Sales Representative,Bachelor,65615,Good,No,1985-08-18,2021-06-08
00-19335534,Nancy,Edwards,Female,New York,New York City,2015-08-27,Operations,Logistics Coordinator,Bachelor,59144,Needs Improvement,Yes,1988-03-09,2018-06-09
00-40587988,Randall,Rocha,Male,Michigan,Warren,2023-06-17,Sales,Sales Consultant,PhD,72568,Excellent,Yes,1972-02-13,2023-12-14
00-20709497,Joseph,Wright,Male,Michigan,Detroit,2023-07-24,Sales,Sales Representative,Bachelor,74665,Needs Improvement,Yes,1993-11-23,2024-01-20
00-23556182,Jose,Richards,Male,New York,Buffalo,2018-11-23,Operations,Inventory Specialist,Bachelor,65857,Satisfactory,No,1986-08-28,2020-07-05
00-70855700,Reginald,Robinson,Female,New York,Buffalo,2021-12-30,Operations,Logistics Coordinator,Bachelor,66933,Good,No,1972-02-03,2022-06-28
00-58966946,William,Davis,Male,New York,Rochester,2017-01-18,IT,Software Developer,Bachelor,101924,Good,No,1981-07-07,2021-08-15
00-57683626,Daniel,Burton,Female,Michigan,Warren,2017-10-16,IT,IT Support Specialist,High School,56274,Good,No,1983-11-29,2018-06-24
00-45833156,Robert,Brown,Female,Pennsylvania,Allentown,2022-05-19,IT,Software Developer,Master,112605,Excellent,No,1979-12-21,2022-11-15
00-96977837,Wendy,Rice,Male,New York,Rochester,2016-12-20,IT,IT Support Specialist,High School,57255,Good,No,1987-07-10,2019-01-15
00-95225343,Michelle,Smith,Male,Michigan,Grand Rapids,2017-09-20,Sales,Sales Specialist,PhD,75624,Excellent,Yes,1967-03-13,2024-10-19
00-42857966,Erin,Herrera,Male,New York,New York City,2017-04-08,Marketing,SEO Specialist,High School,58947,Satisfactory,Yes,1983-04-03,2021-08-19
00-60929647,Danielle,Rodriguez,Female,North Carolina,Greensboro,2017-06-08,IT,IT Support Specialist,Bachelor,59005,Good,Yes,1991-07-10,2017-12-05
00-95899313,Shawn,Mckay,Male,Michigan,Grand Rapids,2022-11-15,Sales,Sales Specialist,PhD,59902,Needs Improvement,Yes,1982-09-12,2023-05-14
00-39476249,Jose,Mason,Male,New York,Buffalo,2022-03-07,Sales,Sales Representative,Bachelor,68460,Satisfactory,No,1962-11-23,2022-09-03
00-17507864,Rita,Harrell,Male,Michigan,Detroit,2017-04-19,Customer Service,Help Desk Technician,High School,66328,Good,No,1990-07-27,2020-04-08
00-14308421,Danielle,Lynch,Female,Pennsylvania,Allentown,2023-02-25,Customer Service,Customer Service Representative,Bachelor,66799,Good,Yes,1974-04-08,2023-09-17
00-63843426,Kathryn,Ryan,Male,New York,New York City,2017-10-11,Operations,Operations Analyst,Master,73800,Satisfactory,Yes,1984-07-23,2020-11-07
00-38317637,Alyssa,Smith,Male,New York,New York City,2024-04-28,Operations,Operations Analyst,Bachelor,58332,Needs Improvement,No,1999-01-29,2024-10-25
00-86125617,Andrew,Hickman,Female,New York,Buffalo,2023-11-16,Sales,Sales Representative,Bachelor,72877,Satisfactory,Yes,1996-07-21,2024-05-14
00-52235350,Marie,Parker,Female,New York,Rochester,2017-01-22,Operations,Operations Analyst,Bachelor,75924,Good,No,1991-10-16,2021-03-08
00-77005685,Natalie,Arroyo,Male,New York,New York City,2019-02-01,Marketing,Content Creator,Bachelor,62860,Satisfactory,No,1994-03-26,2024-05-04
00-96282117,Todd,Jones,Male,North Carolina,Raleigh,2019-10-04,Operations,Logistics Coordinator,Bachelor,65753,Satisfactory,No,1995-10-02,2021-07-09
00-45551614,Katie,Anderson,Male,New York,New York City,2017-06-23,Customer Service,Support Specialist,Bachelor,70642,Good,No,1985-06-09,2021-05-13
00-85345555,Andrea,Baker,Female,New York,Buffalo,2020-11-14,Operations,Logistics Coordinator,Bachelor,58536,Good,Yes,1990-06-22,2021-05-13
00-88461803,Rodney,Lewis,Male,New York,New York City,2019-07-16,HR,HR Coordinator,Bachelor,64334,Good,No,1983-10-04,2021-07-15
00-88320463,Jessica,Harris,Male,New York,New York City,2019-04-24,Operations,Operations Analyst,Master,65796,Satisfactory,Yes,1991-01-02,2022-03-08
00-39436733,Wanda,Santos,Male,New York,New York City,2024-06-08,Sales,Sales Specialist,PhD,74536,Good,No,1983-06-12,2024-12-05
00-28566572,Zachary,Martinez,Male,New York,Rochester,2020-03-23,IT,Software Developer,Master,95414,Good,Yes,1993-05-29,2020-09-19
00-22201654,Matthew,Chapman,Female,New York,Buffalo,2022-03-25,IT,IT Support Specialist,Bachelor,63809,Good,Yes,1975-02-18,2023-08-03
00-24716857,Jeffrey,Jones,Female,Pennsylvania,Pittsburgh,2017-08-18,Operations,Inventory Specialist,High School,53523,Needs Improvement,No,1969-01-30,2020-06-21
00-31472420,Jeremy,Whitehead,Male,New York,Rochester,2023-11-09,Operations,Logistics Coordinator,Bachelor,64425,Satisfactory,Yes,1992-01-01,2024-12-24
00-66661351,Chad,Young,Female,New York,Rochester,2020-09-01,Marketing,Marketing Manager,Master,99133,Satisfactory,No,1973-12-18,2021-02-28
00-61642594,Jason,Anderson,Female,Michigan,Detroit,2018-12-07,Operations,Logistics Coordinator,Bachelor,67195,Good,No,1963-08-16,2024-01-28
00-72820592,Ashley,Kennedy,Male,Ohio,Columbus,2020-10-13,Operations,Logistics Coordinator,Bachelor,64180,Excellent,No,1982-04-06,2021-04-11
00-84252722,Lindsey,Lee,Female,Pennsylvania,Philadelphia,2023-02-05,IT,IT Support Specialist,High School,65304,Good,No,1977-10-25,2023-08-04
00-11540956,Ryan,Henderson,Male,New York,New York City,2022-06-19,Operations,Inventory Specialist,High School,63817,Good,No,1984-11-15,2022-12-16
00-25374874,Jessica,Nunez,Female,New York,Buffalo,2022-12-25,Marketing,Marketing Coordinator,Bachelor,72571,Good,No,1983-12-08,2024-06-20
00-82070937,Corey,Powell,Female,New York,Rochester,2022-05-04,IT,Software Developer,Master,86218,Good,No,2001-11-22,2024-11-05
00-96028436,Michelle,Wright,Female,New York,Buffalo,2018-03-11,Operations,Logistics Coordinator,Bachelor,62747,Good,Yes,1991-09-22,2018-11-08
00-49392920,Shane,Henderson,Male,New York,Rochester,2019-04-12,Sales,Sales Representative,Bachelor,63549,Satisfactory,No,1990-07-06,2024-06-26
00-70897765,John,Leblanc,Female,North Carolina,Greensboro,2015-06-11,IT,IT Support Specialist,Bachelor,52701,Good,No,1999-08-18,2024-04-27
00-45351479,Michelle,Pierce,Female,New York,New York City,2024-01-19,Sales,Sales Specialist,Master,67999,Good,Yes,1972-08-13,2024-07-17
00-33978249,Yvette,Huff,Male,New York,New York City,2020-12-19,Operations,Operations Analyst,Master,61490,Good,No,1994-03-17,2021-06-17
00-24282218,Sara,Allison,Male,Illinois,Chicago,2023-03-02,Sales,Sales Representative,Bachelor,67126,Satisfactory,No,1967-09-12,2023-08-29
00-50056581,Todd,Lewis,Male,New York,Rochester,2023-05-26,Customer Service,Help Desk Technician,Bachelor,78979,Good,Yes,1987-12-10,2023-12-12
00-78137358,Brian,Gray,Male,New York,Rochester,2021-12-25,Operations,Logistics Coordinator,Bachelor,59626,Excellent,No,1995-03-09,2022-08-06
00-30513739,Joseph,Bowers,Male,North Carolina,Charlotte,2018-06-15,Operations,Inventory Specialist,Bachelor,67277,Satisfactory,No,1980-06-22,2023-03-24
00-31682744,Rodney,Bernard,Female,New York,New York City,2020-12-29,Sales,Sales Specialist,PhD,92649,Good,No,1981-06-11,2021-06-27
00-81182864,Angela,Higgins,Male,New York,Buffalo,2024-02-26,Customer Service,Help Desk Technician,Bachelor,75065,Satisfactory,No,1999-06-30,2024-08-24
00-90388981,Kenneth,Novak,Male,North Carolina,Greensboro,2018-07-30,Sales,Sales Specialist,Bachelor,91868,Satisfactory,No,1985-08-21,2022-03-31
00-12614124,Amy,Adkins,Female,Ohio,Cincinnati,2016-01-21,Operations,Logistics Coordinator,Bachelor,52257,Good,Yes,2000-07-28,2021-03-19
00-58718453,Breanna,Shaw,Male,New York,Rochester,2023-11-07,IT,IT Support Specialist,Bachelor,62344,Good,No,1987-09-21,2024-05-05
00-51273847,Eric,Yu,Female,New York,Rochester,2017-01-30,Customer Service,Help Desk Technician,Bachelor,65228,Good,No,1989-05-08,2021-04-03
00-42329237,Jacob,Larson,Female,New York,New York City,2023-09-03,Operations,Logistics Coordinator,Bachelor,60306,Satisfactory,No,1985-05-26,2024-03-01
00-20570592,Joe,Wilson,Female,New York,New York City,2016-11-20,Operations,Inventory Specialist,High School,68451,Excellent,Yes,1977-11-27,2021-08-08
00-75228535,John,Wheeler,Female,Illinois,Chicago,2023-08-14,Operations,Logistics Coordinator,Bachelor,62523,Good,Yes,1992-05-22,2024-02-10
00-81498611,Robert,Silva,Male,New York,New York City,2022-07-10,Sales,Sales Representative,Bachelor,66748,Good,Yes,1997-09-10,2024-12-21
00-27232410,Sarah,Harris,Male,New York,Rochester,2022-09-18,Operations,Operations Analyst,Bachelor,86843,Needs Improvement,Yes,1985-11-07,2023-03-17
00-83793389,John,Foster,Male,Michigan,Grand Rapids,2017-09-02,Operations,Inventory Specialist,Bachelor,67291,Good,No,1996-12-25,2023-08-31
00-80823176,Kevin,Stewart,Female,New York,Buffalo,2023-10-01,Customer Service,Support Specialist,Bachelor,55273,Good,Yes,1975-05-18,2024-06-08
00-66792612,Charles,Ellis,Female,New York,Buffalo,2024-12-30,Operations,Inventory Specialist,Bachelor,54982,Good,No,2003-10-30,2025-06-28
00-82383095,Wendy,Jones,Male,Pennsylvania,Pittsburgh,2022-03-19,Sales,Sales Representative,Bachelor,77768,Good,No,1994-05-28,2022-09-15
00-36998038,Joseph,Mahoney,Male,New York,Buffalo,2022-11-17,Operations,Inventory Specialist,Bachelor,68593,Good,No,2003-10-30,2023-05-16
00-63551839,Natasha,Wood,Male,Michigan,Grand Rapids,2024-02-27,Sales,Sales Specialist,PhD,68345,Good,No,1990-10-20,2024-08-25
00-97225156,Martha,Warner,Male,Virginia,Virginia Beach,2018-08-11,Finance,Accounts Payable Specialist,Bachelor,74522,Satisfactory,No,1974-12-04,2023-02-04
00-79467853,Vanessa,Valdez,Male,New York,Buffalo,2019-01-03,Marketing,Content Creator,Bachelor,67732,Excellent,No,1992-11-29,2021-07-19
00-43273328,Lisa,Evans,Male,New York,New York City,2017-08-30,IT,Software Developer,Master,76157,Good,No,1988-08-11,2018-02-26
00-55377076,Sheila,Taylor,Male,New York,Rochester,2015-02-12,Customer Service,Help Desk Technician,Bachelor,61515,Excellent,Yes,1979-07-07,2016-02-23
00-84346088,Daniel,Tran,Female,New York,New York City,2017-04-10,Sales,Sales Representative,Bachelor,55707,Satisfactory,No,1983-01-08,2017-10-07
00-39557077,Cassandra,Robbins,Male,New York,Rochester,2015-03-16,Sales,Sales Specialist,PhD,89883,Good,No,1972-10-16,2020-03-31
00-94705205,Cynthia,Baker,Male,New York,Rochester,2016-06-27,IT,System Administrator,Bachelor,76620,Satisfactory,No,1972-07-24,2017-05-24
00-19046318,Rebecca,Mathis,Male,New York,Rochester,2023-02-03,Sales,Sales Consultant,PhD,71106,Excellent,No,1962-07-27,2023-08-02
00-54349361,Rodney,Hill,Female,New York,Buffalo,2016-01-02,Operations,Inventory Specialist,High School,55602,Good,No,1988-03-11,2023-02-21
00-41944441,Kellie,Walsh,Male,New York,Rochester,2017-04-06,Sales,Sales Specialist,Master,72748,Excellent,No,1988-01-18,2020-02-17
00-75151231,Joyce,Arnold,Female,New York,Rochester,2017-06-05,IT,Software Developer,Bachelor,89910,Needs Improvement,Yes,1990-06-21,2018-07-10
00-27758595,Alec,Jones,Male,New York,New York City,2022-11-18,Operations,Operations Analyst,Master,74666,Excellent,No,1988-07-31,2024-09-14
00-86644106,Rebecca,Gardner,Male,New York,Buffalo,2020-10-31,Operations,Operations Analyst,Master,54038,Good,No,2001-08-31,2022-05-09
00-42614537,Brandi,Hernandez,Male,Florida,Orlando,2023-02-16,Customer Service,Customer Service Representative,High School,63502,Good,Yes,1990-07-18,2023-08-15
00-64634663,Kyle,Nolan,Male,New York,New York City,2017-10-17,Customer Service,Support Specialist,Bachelor,70075,Satisfactory,No,1973-04-24,2018-09-22
00-23009833,Michelle,Nolan,Male,Virginia,Virginia Beach,2022-03-18,Sales,Sales Consultant,PhD,72090,Good,Yes,1992-09-13,2022-11-24
00-57553014,John,Garcia,Female,New York,New York City,2019-10-11,IT,Software Developer,Master,97986,Satisfactory,No,1982-10-14,2020-04-08
00-72682989,Nicole,Russell,Female,New York,New York City,2023-08-14,Customer Service,Support Specialist,Bachelor,58211,Good,No,1975-02-27,2024-02-10
00-17270733,Eric,Spears,Female,New York,Buffalo,2022-11-11,IT,Software Developer,Master,110775,Excellent,No,1989-11-12,2023-05-10
00-96728778,Theresa,Cochran,Male,New York,New York City,2016-11-17,Sales,Sales Representative,Bachelor,77885,Good,No,1982-04-06,2020-10-01
00-64038913,Angel,Doyle,Female,New York,Buffalo,2022-05-01,IT,System Administrator,Bachelor,71874,Good,Yes,1994-05-15,2022-10-28
00-24665841,Sarah,Pham,Male,New York,Rochester,2017-11-11,Sales,Sales Representative,Bachelor,82733,Satisfactory,Yes,1968-08-07,2018-05-10
00-35529407,Lisa,Adams,Female,New York,Rochester,2020-10-14,Customer Service,Support Specialist,High School,60873,Satisfactory,Yes,1996-06-29,2024-08-30
00-28814949,Daniel,Brennan,Female,Ohio,Cleveland,2019-11-09,Marketing,SEO Specialist,High School,79702,Good,Yes,1982-10-13,2020-05-07
00-47385696,Jeffrey,Velasquez,Male,Florida,Tampa,2019-06-17,Sales,Sales Representative,Bachelor,68776,Satisfactory,No,1976-12-23,2019-12-14
00-20117988,Kevin,Pope,Female,New York,Buffalo,2019-03-24,Sales,Sales Consultant,Master,106756,Excellent,Yes,1972-06-16,2022-07-22
00-83863413,Andrew,Lee,Female,New York,Rochester,2016-04-29,Operations,Inventory Specialist,Bachelor,54987,Good,Yes,1972-09-04,2019-09-04
00-97529405,Michelle,Rasmussen,Male,New York,Buffalo,2024-04-11,Operations,Logistics Coordinator,Bachelor,59953,Satisfactory,Yes,2000-05-03,2024-10-08
00-11980765,Darlene,Ross,Female,New York,Buffalo,2024-12-24,Customer Service,Customer Service Representative,High School,52789,Excellent,Yes,1996-04-07,2025-06-22
00-41726318,Amanda,Crosby,Female,New York,New York City,2017-02-11,Operations,Logistics Coordinator,Bachelor,62414,Good,Yes,1983-07-31,2017-08-10
00-75181648,Tara,White,Male,New York,Buffalo,2019-12-17,Marketing,Marketing Manager,Master,96359,Good,No,1968-04-11,2023-03-07
00-63826716,Joseph,Rodriguez,Female,New York,Buffalo,2023-06-08,Customer Service,Support Specialist,High School,55158,Satisfactory,No,1999-04-19,2023-12-05
00-32097220,Jessica,Edwards,Male,New York,New York City,2018-08-09,Operations,Logistics Coordinator,Bachelor,64307,Excellent,Yes,1977-06-05,2021-02-10
00-62401521,William,Cruz,Female,New York,Rochester,2017-07-29,Operations,Logistics Coordinator,Bachelor,55202,Good,No,1992-06-26,2020-03-29
00-71070189,Jonathan,Fletcher,Female,New York,Buffalo,2017-01-01,IT,Software Developer,Master,85463,Good,Yes,1988-10-25,2017-06-30
00-84593961,Sara,Ryan,Female,New York,Buffalo,2022-09-19,Operations,Inventory Specialist,Bachelor,62649,Good,Yes,1992-06-16,2023-03-18
00-75319931,Judy,Lambert,Female,New York,Rochester,2017-05-13,Finance,Accountant,Bachelor,78033,Good,Yes,1976-12-15,2020-07-02
00-49823450,Chad,Beck,Female,Ohio,Columbus,2017-05-01,Operations,Inventory Specialist,High School,54288,Good,No,2000-07-12,2021-08-16
00-17849494,Lee,Charles,Female,New York,New York City,2020-09-19,Operations,Logistics Coordinator,Bachelor,60478,Good,Yes,1961-08-05,2021-03-18
00-82772208,Kevin,Parker,Female,Michigan,Grand Rapids,2016-05-29,Sales,Sales Representative,Bachelor,56449,Good,No,2002-12-29,2018-05-20
00-52091325,Richard,Phillips,Female,New York,Rochester,2016-02-16,IT,Software Developer,Master,84163,Good,No,1997-11-26,2021-08-17
00-88406989,Robert,Bentley,Female,New York,New York City,2019-09-04,Sales,Sales Specialist,Master,64469,Good,No,1987-12-20,2020-03-02
00-81286543,Raven,Gilbert,Female,New York,Buffalo,2017-04-20,Operations,Inventory Specialist,High School,61297,Good,No,1991-03-09,2019-07-29
00-78159587,Amy,Smith,Male,Michigan,Detroit,2016-04-14,Sales,Sales Consultant,Bachelor,99485,Good,Yes,2003-11-25,2024-05-14
00-34941004,Russell,Carpenter,Male,New York,Buffalo,2016-08-26,Operations,Logistics Coordinator,Bachelor,68767,Good,No,1984-01-11,2023-03-26
00-19121552,Steven,Ramos,Male,North Carolina,Charlotte,2022-03-19,Customer Service,Support Specialist,Bachelor,75602,Satisfactory,Yes,1978-12-31,2022-09-15
00-41568532,Thomas,Santana,Male,New York,Buffalo,2019-10-17,Operations,Inventory Specialist,High School,62596,Good,No,1993-10-18,2022-08-06
00-86460539,Gene,Miller,Male,New York,Buffalo,2017-07-07,Operations,Logistics Coordinator,Bachelor,70840,Satisfactory,No,1998-08-10,2018-01-03
00-89795010,Cynthia,Rogers,Male,Illinois,Aurora,2015-10-25,HR,Recruiter,High School,72174,Excellent,No,1971-07-01,2019-03-17
00-21003626,Karen,Chambers,Female,New York,Buffalo,2019-03-23,Operations,Operations Analyst,Bachelor,75342,Good,Yes,1975-07-22,2019-09-19
00-88339168,James,Johnson,Female,New York,New York City,2020-03-30,Operations,Logistics Coordinator,Bachelor,60171,Needs Improvement,No,1992-10-21,2020-09-26
00-52462441,Thomas,Atkinson,Female,New York,Buffalo,2024-01-27,IT,IT Support Specialist,Bachelor,63310,Excellent,No,1969-09-26,2024-07-25
00-37415205,Robert,Soto,Female,North Carolina,Charlotte,2022-03-12,Operations,Inventory Specialist,Bachelor,56368,Satisfactory,No,1964-12-19,2022-09-08
00-52169044,Heather,Snyder,Female,New York,Buffalo,2017-03-30,Customer Service,Help Desk Technician,High School,61582,Good,No,1993-03-24,2019-09-28
00-63121477,Diana,Smith,Female,New York,Buffalo,2017-10-01,Operations,Operations Analyst,Bachelor,65124,Satisfactory,No,2000-04-09,2023-05-09
00-96637649,Kayla,Rodriguez,Male,North Carolina,Raleigh,2017-06-04,Operations,Inventory Specialist,High School,60758,Good,No,1984-09-19,2017-12-01
00-52436584,Gregory,Rubio,Female,New York,Rochester,2024-07-08,IT,Software Developer,Master,102464,Excellent,No,2001-07-27,2025-01-04
00-19736572,Brent,Wright,Male,New York,New York City,2015-11-05,Customer Service,Customer Service Representative,High School,59247,Needs Improvement,No,2003-07-23,2018-06-25
00-93370583,Stephen,Solis,Female,Pennsylvania,Pittsburgh,2024-08-31,Sales,Sales Consultant,Master,72121,Good,Yes,1979-03-19,2025-02-27
00-23419256,Vanessa,Larson,Female,New York,Buffalo,2016-12-12,Customer Service,Help Desk Technician,Bachelor,75928,Satisfactory,No,1976-09-03,2023-08-09
00-38609087,Patricia,Salazar,Male,New York,Buffalo,2020-09-19,Customer Service,Help Desk Technician,High School,85982,Good,Yes,1983-12-21,2021-03-18
00-27778019,William,Rivas,Male,New York,New York City,2024-07-18,Finance,Accounts Payable Specialist,Bachelor,73858,Good,Yes,1987-08-31,2025-01-14
00-19233013,Phyllis,Manning,Male,New York,New York City,2023-06-22,Sales,Sales Specialist,PhD,69294,Good,Yes,1974-12-16,2023-12-19
00-59597086,Jonathon,Wright,Male,New York,New York City,2017-08-21,Finance,Accountant,Bachelor,87648,Good,No,1983-10-22,2018-07-17
00-68812137,Katie,Boyd,Female,Virginia,Norfolk,2023-08-17,HR,HR Assistant,Bachelor,52257,Good,No,2004-02-21,2024-02-13
00-50603163,Joshua,Jones,Female,Michigan,Warren,2021-04-15,IT,System Administrator,Master,75133,Excellent,No,1962-08-29,2021-10-12
00-97775215,Joseph,Flores,Female,New York,Buffalo,2020-07-16,Operations,Inventory Specialist,High School,62949,Satisfactory,No,1991-11-16,2023-08-25
00-99639081,Devon,Hall,Female,New York,New York City,2023-09-10,Customer Service,Help Desk Technician,Bachelor,63603,Good,Yes,1983-11-17,2024-10-10
00-50181935,Jasmine,Brown,Female,New York,Buffalo,2024-05-28,Sales,Sales Specialist,Master,61558,Good,Yes,1994-09-18,2024-11-24
00-23903144,Amy,Perry,Female,New York,Rochester,2024-03-16,Operations,Logistics Coordinator,Bachelor,55185,Satisfactory,No,1994-06-16,2024-09-12
00-28024248,Robert,Stein,Male,New York,New York City,2017-08-01,Marketing,Marketing Coordinator,Bachelor,77756,Satisfactory,No,1989-05-11,2024-03-27
00-24366125,Heather,Gates,Male,Michigan,Grand Rapids,2022-10-06,Operations,Inventory Specialist,High School,60444,Good,No,2006-04-02,2023-04-04
00-30863865,Omar,Smith,Female,New York,Buffalo,2017-05-09,Marketing,SEO Specialist,High School,59882,Satisfactory,No,2003-04-15,2021-05-16
00-91178885,Karen,Castaneda,Male,New York,Rochester,2017-12-14,Operations,Operations Analyst,Master,81364,Good,No,1987-04-30,2019-09-21
00-56020613,Robert,Adkins,Male,Pennsylvania,Philadelphia,2017-07-18,Operations,Inventory Specialist,High School,64562,Needs Improvement,Yes,1976-06-12,2021-03-31
00-95125977,Carrie,Walker,Female,New York,Buffalo,2023-03-21,Sales,Sales Consultant,Bachelor,90880,Good,No,2002-07-26,2023-09-17
00-77834855,Ryan,Johnson,Male,Michigan,Detroit,2019-05-03,Operations,Operations Analyst,Bachelor,71109,Satisfactory,No,2006-02-03,2019-10-30
00-16818112,Erin,Powell,Female,Michigan,Grand Rapids,2016-03-01,Sales,Sales Specialist,Master,84125,Good,No,2003-01-17,2020-03-04
00-66851377,Tanner,Anderson,Female,Ohio,Cleveland,2023-08-15,Customer Service,Support Specialist,High School,62636,Good,No,1972-03-24,2024-02-11
00-15917225,Anthony,Long,Male,New York,Buffalo,2015-07-25,Customer Service,Help Desk Technician,High School,79240,Satisfactory,No,1983-05-02,2020-10-12
00-27558317,Anthony,Day,Male,New York,New York City,2021-02-19,Marketing,Content Creator,Bachelor,70199,Good,Yes,1996-03-15,2021-08-18
00-45159040,Steven,Williams,Female,New York,Rochester,2017-05-18,Sales,Sales Representative,Bachelor,58922,Satisfactory,No,1967-01-07,2017-11-14
00-69302158,Jason,Murphy,Male,New York,New York City,2020-10-04,Operations,Inventory Specialist,Bachelor,66709,Good,Yes,1990-08-30,2021-04-02
00-67403166,Nicholas,Walton,Male,Michigan,Warren,2020-10-30,Sales,Sales Specialist,Bachelor,67802,Good,Yes,1974-12-27,2021-06-16
00-25015458,Johnny,Miller,Male,Michigan,Detroit,2016-01-08,Customer Service,Support Specialist,High School,60873,Satisfactory,No,1995-06-03,2016-07-06
00-30005727,Amber,Cooke,Male,Virginia,Virginia Beach,2020-05-07,Operations,Inventory Specialist,Bachelor,69620,Satisfactory,No,2003-07-02,2020-11-03
00-59555330,Debra,Harrington,Female,New York,New York City,2020-08-25,Customer Service,Customer Service Representative,High School,59137,Good,No,1993-09-05,2022-05-18
00-29876811,Karen,Herring,Male,New York,Rochester,2019-03-14,Marketing,Content Creator,Bachelor,64414,Good,No,1982-05-06,2019-09-10
00-15614174,Andrew,Hernandez,Female,New York,Rochester,2018-02-15,Customer Service,Customer Service Manager,Bachelor,92114,Excellent,No,1963-03-15,2020-01-17
00-15354599,Elizabeth,Elliott,Male,Michigan,Warren,2023-03-21,Operations,Inventory Specialist,High School,58938,Satisfactory,Yes,2001-04-15,2023-12-13
00-38195995,Holly,Wang,Male,New York,New York City,2022-03-03,Marketing,Marketing Coordinator,Bachelor,71079,Satisfactory,No,1997-12-25,2024-08-07
00-99514287,Catherine,Adkins,Female,New York,New York City,2016-02-11,Operations,Inventory Specialist,High School,62654,Good,Yes,1983-02-27,2023-05-11
00-85146293,Lori,Oconnell,Female,Michigan,Detroit,2023-02-09,Operations,Logistics Coordinator,Bachelor,60249,Good,Yes,1999-03-31,2023-08-08
00-64543049,Anthony,Collins,Male,New York,Buffalo,2024-09-04,HR,Recruiter,High School,58950,Good,No,2001-03-25,2025-03-03
00-30743797,Susan,Sanders,Female,North Carolina,Greensboro,2024-09-17,IT,System Administrator,Bachelor,76654,Good,No,1988-03-21,2025-03-16
